title,artist,filename
Stay Stronger,Transparent Man,Transparent Man - Stay Stronger.mp3
Nightcrawler (feat. Swae Lee & Chief Keef),Travis Scott,Travis Scott - Nightcrawler (feat. Swae Lee & Chief Keef).mp3
BURN IN HELL,Red Leather,Red Leather - BURN IN HELL.mp3
War Ensemble (Album Version),Slayer,Slayer - War Ensemble (Album Version).mp3
Angel Of Death,Slayer,Slayer - Angel Of Death.mp3
Dead Embryonic Cells,Sepultura,Sepultura - Dead Embryonic Cells.mp3
Pull The Plug,Ashe,Ashe - Pull The Plug.mp3
Rime of the Ancient Mariner (2015 Remaster),Iron Maiden,Iron Maiden - Rime of the Ancient Mariner (2015 Remaster).mp3
The Trooper (2015 Remaster),Iron Maiden,Iron Maiden - The Trooper (2015 Remaster).mp3
2112 - Overture (Live In YYZ 1981),Rush,Rush - 2112 - Overture (Live In YYZ 1981).mp3
Battery,Metallica,Metallica - Battery.mp3
Ride The Lightning (Remastered),Metallica,Metallica - Ride The Lightning (Remastered).mp3
Creeping Death (Remastered),Metallica,Metallica - Creeping Death (Remastered).mp3
Disposable Heroes,Metallica,Metallica - Disposable Heroes.mp3
Blitzkrieg Bop (2016 Remaster),Ramones,Ramones - Blitzkrieg Bop (2016 Remaster).mp3
Welcome Home (Sanitarium),Metallica,Metallica - Welcome Home (Sanitarium).mp3
"Damage, Inc.",Metallica,"Metallica - Damage, Inc..mp3"
For Whom The Bell Tolls (Remastered),Metallica,Metallica - For Whom The Bell Tolls (Remastered).mp3
The One,Limp Bizkit,Limp Bizkit - The One.mp3
The Thing That Should Not Be,Metallica,Metallica - The Thing That Should Not Be.mp3
Master Of Puppets,Metallica,Metallica - Master Of Puppets.mp3
Welcome Back,Cyberia-9,Cyberia-9 - Welcome Back.mp3
Electric Crown,Testament,Testament - Electric Crown.mp3
Planet Caravan,Black Sabbath,Black Sabbath - Planet Caravan.mp3
Sabbath Bloody Sabbath,Black Sabbath,Black Sabbath - Sabbath Bloody Sabbath.mp3
Days of Confusion,Cro-mags,Cro-mags - Days of Confusion.mp3
Plastic Love,Mariya Takeuchi,Mariya Takeuchi - Plastic Love.mp3
Kanashimini Sayonara,Anzenchitai,Anzenchitai - Kanashimini Sayonara.mp3
SUMMER SUSPICION,S.Kiyotaka & Omega Tribe,S.Kiyotaka & Omega Tribe - SUMMER SUSPICION.mp3
Mayonaka no Door / Stay With Me,Miki Matsubara,Miki Matsubara - Mayonaka no Door _ Stay With Me.mp3
Minna No Uta,Kyary Pamyu Pamyu,Kyary Pamyu Pamyu - Minna No Uta.mp3
Tribe,Bas,Bas - Tribe.mp3
I'm All Yours / Anata Dake No Mono,Yumi Arai,Yumi Arai - I'm All Yours _ Anata Dake No Mono.mp3
Shall we dance-Kuchizuke Diamond (Live),Weaver,Weaver - Shall we dance-Kuchizuke Diamond (Live).mp3
Say Yes To Heaven,Lana Del Rey,Lana Del Rey - Say Yes To Heaven.mp3
Diamonds,Rihanna,Rihanna - Diamonds.mp3
Runner’s High,MUNA,MUNA - Runner’s High.mp3
Mou Setsunaitoha Iwasenai,Gesu No Kiwami Otome,Gesu No Kiwami Otome - Mou Setsunaitoha Iwasenai.mp3
Midnight Shuffle,S2K,S2K - Midnight Shuffle.mp3
Kokorono Tomo,Mayumi Itsuwa,Mayumi Itsuwa - Kokorono Tomo.mp3
Junjo,Aruan Ortiz,Aruan Ortiz - Junjo.mp3
Get Wild,TM Network,TM Network - Get Wild.mp3
Yellow Magic (Tong Poo),Yellow Magic Orchestra,Yellow Magic Orchestra - Yellow Magic (Tong Poo).mp3
Sotsugyo Shashin,Hayley Westenra,Hayley Westenra - Sotsugyo Shashin.mp3
Winding Road,Man With A Mission,Man With A Mission - Winding Road.mp3
Kaze No Torimichi (My Neighbor Totoro),Aun J-Classic Orchestra,Aun J-Classic Orchestra - Kaze No Torimichi (My Neighbor Totoro).mp3
Crying Eyes,J.J. Cale,J.J. Cale - Crying Eyes.mp3
Amayadori (Live),Toshiki Soejima,Toshiki Soejima - Amayadori (Live).mp3
Toki No Tabibito,Barış Manço,Barış Manço - Toki No Tabibito.mp3
Suteki na Oji-sama,Mako Kuwabara,Mako Kuwabara - Suteki na Oji-sama.mp3
Million Miles Away,The Offspring,The Offspring - Million Miles Away.mp3
Hoseki,FictionJunction,FictionJunction - Hoseki.mp3
Innocent World,Iggy Pop,Iggy Pop - Innocent World.mp3
Shinunoga E-Wa,Fujii Kaze,Fujii Kaze - Shinunoga E-Wa.mp3
Silent Movies,Madisen Ward and The Mama Bear,Madisen Ward and The Mama Bear - Silent Movies.mp3
HIKARI NO NAKA DE FURIMUKU WATASHI,Mako Ishino,Mako Ishino - HIKARI NO NAKA DE FURIMUKU WATASHI.mp3
Lovin' You,Minnie Riperton,Minnie Riperton - Lovin' You.mp3
Overdrive (feat. Norma Jean Martine),Ofenbach,Ofenbach - Overdrive (feat. Norma Jean Martine).mp3
Summer Dream (Zucca Mix),Dim Zach,Dim Zach - Summer Dream (Zucca Mix).mp3
Namida no benibara,Hibari Misora,Hibari Misora - Namida no benibara.mp3
Endless Game,Lexxy Chainz,Lexxy Chainz - Endless Game.mp3
Mordeh Bodam Zendeh Shodam,Alireza Eftekhari,Alireza Eftekhari - Mordeh Bodam Zendeh Shodam.mp3
Boulevard Of Broken Dreams (Reggae Cover),Stick Figure,Stick Figure - Boulevard Of Broken Dreams (Reggae Cover).mp3
Silence ga Ippai,S.Kiyotaka & Omega Tribe,S.Kiyotaka & Omega Tribe - Silence ga Ippai.mp3
Haru no Uta,Yoeko Kurahashi,Yoeko Kurahashi - Haru no Uta.mp3
Wangan Taiyozoku,Yoko Oginome,Yoko Oginome - Wangan Taiyozoku.mp3
Oyoge! Taiyaki Kun,Masato Shimon,Masato Shimon - Oyoge! Taiyaki Kun.mp3
